non justo.,"suscipit, est ac facilisis facilisis, magna tellus faucibus leo,",307,2,7
et,"tincidunt adipiscing. Mauris molestie pharetra nibh. Aliquam ornare, libero",580,2,4
Donec,eget odio. Aliquam vulputate ullamcorper magna. Sed eu eros. Nam consequat dolor vitae dolor. Donec fringilla. Donec feugiat metus sit amet ante. Vivamus non,192,2,2
et,"metus vitae velit egestas lacinia. Sed congue, elit sed consequat auctor, nunc nulla vulputate dui, nec",366,1,3
dui quis accumsan,consectetuer euismod est arcu ac orci. Ut semper pretium neque. Morbi quis urna. Nunc quis arcu vel quam dignissim pharetra. Nam ac nulla. In tincidunt congue turpis. In condimentum.,574,6,5
"lacinia vitae, sodales","aliquet molestie tellus. Aenean egestas hendrerit neque. In ornare sagittis felis. Donec tempor, est ac mattis semper, dui lectus rutrum urna, nec luctus felis purus ac",386,10,4
sed pede,"arcu. Curabitur ut odio vel est tempor bibendum. Donec felis orci, adipiscing non,",220,2,1
Vivamus,"sed orci lobortis augue scelerisque mollis. Phasellus libero mauris, aliquam eu, accumsan sed, facilisis vitae, orci. Phasellus dapibus quam quis diam. Pellentesque habitant morbi tristique senectus",351,1,7
egestas.,"adipiscing non, luctus sit amet, faucibus ut, nulla. Cras eu tellus eu augue porttitor interdum. Sed auctor",261,1,4
sodales nisi magna,"Praesent eu dui. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus",530,1,1
malesuada,volutpat. Nulla facilisis.,35,7,4
neque vitae semper,"vulputate, nisi sem semper erat,",565,9,5
"dis parturient montes,","ut erat. Sed nunc est, mollis non, cursus non, egestas a, dui. Cras pellentesque. Sed dictum. Proin eget odio. Aliquam vulputate ullamcorper magna. Sed eu eros. Nam consequat",493,9,5
vel quam dignissim,"hendrerit a, arcu. Sed et libero. Proin mi. Aliquam gravida mauris ut mi. Duis risus odio, auctor vitae, aliquet nec, imperdiet nec, leo. Morbi neque",533,7,4
Cras interdum.,"elit, pharetra ut, pharetra sed, hendrerit a, arcu. Sed et libero. Proin mi. Aliquam gravida mauris ut mi.",136,3,3
orci luctus et,eu,84,4,1
"non, lobortis quis,","accumsan convallis, ante lectus convallis est, vitae sodales nisi magna sed dui. Fusce aliquam, enim nec tempus scelerisque,",128,2,1
tempor,convallis dolor.,581,3,2
